userName;content;score
Shubham Tiwari;This is best application for learn spoken english;5
Jitlada J;Great for learning other languages for people who wants to speak with other languages people;4
Dipchand Rajbhar;I am give it 5 star because this app tought me franchise language in some time very easily so I'm happy with this.;5
lebbie jace caparas;I just saw Duolingo doing the I just wanna be part of your symphony trend on tt help;4
A B;Like for new logo design. Only that logo was the reason I have downloaded it again;5
mami;Why are you like this;3
andri an;nice app for beginner use for learn language 🙂;5
Allexa Illana;it's very fun I easily learned Spanish with it;5
YOO Gaming;this is good learning app;5
Christine H;This is an awesome way to learn another language. It's so easy to use and so much fun;5
Katsuya HIRANO;電話番号の認証を求められるがsmsにメッセージが送られてこない。どうにかしてください。2024/9/1 --- 内容はよいですが、アプリが起動できない現象がしょっちゅう発生する。;3
Marcos Contreras;they kidnapped my family for a 7 day streak;5
I'ma Junaed;nice;5
Nanaz Tong;aku dari indo dan app ini baguss ya walaupun ada iklan btw makasih duolingo aku jdi bisa bahasa inggris sama jepang <3;4
Taina Wrakonei;It is such an amazing app. I had to pick up quickly on the vocabulary. Great app;5
Melanie;ew why is the app icon look disgusting, im going to uninstall;1
Angel Vigil;muy bueno;5
Hymavathi SANGIREDDY;Leave my family alone! Overall great app for people who want to learn a specific language. My mom liked this and I did too , it helped my mom alot and me so yeah , great app.;5
Connor Fox;its actually teached me a lot in one unit;5
Linda Lorraine;It's fantastic!;5
Dylan DeWitt;It's amazing possibly the best way to learn a language but I wish it had more languages and I wish the music course had different instruments to learn than just piano;5
Rahul;What happened to your Icon ? U Look too sick 😷🙄;5
Neba Magloire Neba;awesome app one of a kind;5
Mcfred Onah;Overall a very helpful app. But please the new logo is not sharp. It's actually disgusting. Change it back;3
Dholu ram gurjar;nice app ik dam mast h;5
Maimuna Tabassum;Why is Duolingo sick?;3
Hanako;really awesome app!! i never studied French before, and i really enjoy learning basic interactions and everything like that!! i really hope we can get music and math's here on Androids too like iPhone's do!! that's all from me!! (づ๑•ᴗ•๑)づ♡;5
•KR3W L0V3R•;im being enslaved by duolingo;1
Victor Rivera;👍;5
Panagiotis Monster;fun, interesting, educational, perfect. nothing else to say;5
Jeremy _ _ _ _;I really hate the way they make the nice icon look ugly and hideous every so often and think they're being clever. How lame.;1
Bellen Abordo;nice language app👍👍 it really helps my English skills;5
Dayashankar jaiswal;It is reallyyyy good;5
Little Belize;so much fun;5
Joshua Burrows;Absolutely love the educational structure.;5
filler name;the icon's gross now;1
Mizzy Aprimarite;😫🇯🇵❌ 👉🏻🦉🟢📱😲😯😯👍🏻👏🏻👏🏻👏🏻👏🏻🇯🇵✅;5
Mazen;very good;5
Allison Aguillera;great and easy way to learn Spanish , I love how interactive it is.;5
Jake Paul Gomez;Our game is beautiful, try it;5
Mellisa Edwards;to my surprise I am learning, even on the free version;5
Nkosi Kyulabantu;it's a good language learning app, some people may find some down sides somewhere but personally I like the way it's fun and interactive and it's whole UI in general.;5
Sharif Hossain;very good;3
Elizabeth Michael;8-31-24 It WAS a good app, UNTIL...this latest update. I do practice for hearts. But now I'm getting things in the practice I didn't get in the lessons. I'm done. 330 days and I quit. 0 stars. 9-8-23 The hearts gotta go. For a dyslexic learner like me, the hearts are a distraction that hinder true learning. I practice repeatedly until I get something, no matter the mistakes I make in the doing. The hearts prevent that. Why are the hearts a punishment for mobile when they aren't present for pc?;1
Balaji Panasa;yes this app is very beautiful and I learn English is very easy;5
Jose;Very good 😊;5
Varun suresh;GREAT! Perfect app to learn languages!!!;5
Lyndon;it really helps me learn languages even from scratch. right now I'm learning Japanese and Spanish (yep you can do as many as you want at once) it's really helping me.;5
Comic Sans;pretty simple and fun with plenty of translations;5
SUMIT KUMAR;this is very best app;5
Suraj Patel;very beautiful app for learning. in english;5
Anurag Kumar;Pro player;4
T Bear;They just had an update that is terrible. I've been using this app for 18 months but I'm not gonna use it any longer with this current new format.;1
Tebogo Mamoriri;Good;5
amanda Aviles;esta muy bie, me gusta;4
Min McGlaughn;Great app for learning a language. I am particularly frustrated with the super subscription. When signing up for the trial, you only have the option for the yearly price of 92 dollars. The trial says it will notify 2 days before the end, but it didn't. I'm so mad I want to delete the app. But I just paid 92 dollars so that would be dumb. Don't use the super trial unless you're ready to drop food for a week on it.;1
AnteriorPawn;please release my family;5
Cayde Lewis;pretty good / alright;4
Suzana Yahya;i got it! this app is very useful for me to learn a new language i don't wanna miss my streaks!! I'm very thankful for this app now i know Japanese! Thanks for this app;5
Soufi Mostafavikashani;I just love this method!!!!;5
Lotanna Onuora;this is the best learning app;5
cosmi dev;I swear these are bots, learn from me. IF YOU DARE TOUCH THIS APP HE WILL COME AFTER YOU, WAIT. HES HERE;5
A Google user;The new image with a moster is horrible;1
Saurabh singh;this app is perfect for bigner;5
Zhel Gorillo;I really love this app it helped me a lot and you can write,read, speak it in a very fast way,,this app is also very useful for beginners to learn a new language,,thank you..;5
Dhesyca;The lesson formats have improved in the two years I've been gone. The tools for practicing pronunciation and recognizing sounds has improved also. Badges and gamifying the learning process have incentivized returning to the app.;5
Florie mae Dalura;it is very good app.. because of these app I know all the language I want to know;5
Jonah Murphy;Great app for learning, simple, engaging and remaining fun!;5
Ruslan Pavlov;Nu te învață nimic gramatical stai și apeși cum nimerește;1
Rimamshon David;Really the only reason its not a five star from me is that its really tryna be pay2win;4
Faisal Abdul Hamid;めっちゃすきこのがめはだいこう;5
wael abdelazez;very good 💯;5
Maxton Zavesky;Honestly decent app to learn different languages in your free time;4
Moklachur Rahman;very good way is English practice;5
Muhammad Faiz;be cause of this thing I can speak many languages;5
Bernard Chibuike;the learning tools in the app I very very fantastic and easy to work with, five stars for all;5
RA DA;April 2024 Review: Dear Duolingo, here are 5⭐, 5💎 and 5❤️ for you! We love and care for you, Duolingo. You have been by our sides for decades and we appreciate all the wonderful efforts of your Duolingo Team! ❤️ Your artists are brilliant!;5
Orienda Onyilofor;Duolingo is an amazing way of speaking English and other languages I totally recommend this;5
๑Gluttony XD๑;great learning app;5
Sanjeev Kumar Joshi;Nice;5
Leslie Harris;Duo what is that icon-;1
Ramadhan Bastari putra;i love i learning it is actually fun idk if any learning langguage app can let me do a streak unless this one i love this app to learn arabic and im 12 (im gen alpha not gen alpha i use gen z slang not brainrot);5
Tim Preston;Doulingo is helping me speak elspanol;5
Wolf Girl;great way to learn;5
Stacie Grewing;It's really helpful! After holding my family hostage, ripping of finger nails, and threatening me with a gun, I now know Spanish :);5
isaac robinson;5 star rating or ill stop debating;5
Péter Sánta;Pls do not change the app icon to an ugly/drunk/sick duo in the future. It is agressively stressful, I was thinking on cancel my subscription.;1
Pug Kitty (Protect the squirrels!);i like it! but it's not the BEST learning app in the world. personally, i think duocards is better, duocards is just where you pick a language and then press the ➕️ button down below on the right corner and you type in any english word you want then, then you press save, back out, then press the learn button! and there you go! you learn the new word in like 2 sec or 1 day.;5
Jen Agnes Cruz;it help me to learn many languages not like at school they do it fun even my mom learn languages from duolingo.;5
Eren Naruto;👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻;1
Laura C;Please let my family go;1
tim alvarez;Great,I think everyone should get the friend quest chart;4
AnjolaOluwa BADARU;I have a grasp of German now;5
Toka Toka;This is really cool;5
Kado Hill;It's a really cool app, which I recently just started, but I suggest you try it out cause it's fun to learn. Just don't miss a day, or duolengo will go after you...;4
Amara Ramgethy;helps me alot;5
Kuba ************;the bird scares me.;5
John Pattison;Not convinced it's teaching me conversational Japanese. Also the voices for some lessons speak some words so softly, or slur them, such that it can be very easy to get an exercise wrong because you literally do not hear a word, or cannot hear it correctly.;3
Itai Y.;The owl is sick! Please cure the owl immediately! I do not want a sick owl on my home screen!;1
Kameron Foster;"Make it so we can easily opt out of icon changes especially if we have paid for the subscription. I cannot find a way to change the icon back to normal in android app. ""Sick duo"" may be enough for me to uninstall even tho I have paid for it.";1
Michael Austin;Nice, but the new logo is disgusting, i had to remove it from my homescreen.;2
Angie Caraballe;just took me like 1 minute to know el Nino LA Nina tu Bebo aguga;5
Fno Gok;I deleted it and I saw a white van outside at 3am and when I woke up my family was gone edit:I'm sorry duo please give me my family back;5
Cody Smith;It's a alright. They do teach the lessons efficiently, but it kinda gets repetitive. Advanced to the next lesson sets is difficult and requires time, so patience is key;4
Armani Mejia;Great Language learning app, I already know half my Spanish already cause of this app!;5
Ch Zafar;Just for time passing;1
mio miguel;this is amazing;5
Taffy is trashy;learning welsh very cool 👍;5
Kat;Do a lingo teaches me more French I like that there's no ADS interrupting when you're learning;5
amira Biskra;the words is the only thing that you can get from this app I don't think it's enough to learn English or any another language;1
Sama Elkhmessy;حلو اوي;5
soroush;زبان فارسی را اضافه کن ای جغد پلید;3
Neelima prathap;it is awesome;5
Abby Jill Borja;THANKS DUOLINGO!, NOW I CAN UNDERSTAND AUNT MARTIE, SHE IS JAPANESE And I'm here to say THIS DESERVES 5 STARS!!;5
Mahmud Hasan;why is the bird sick?;4
Kenzy Iskander;It doesn't teach you anything don't trust them. I was learning Spanish and when I decided to get a Spanish teacher she told me that every thing I learned was bad.;1
Ian Laurence Abellanosa;I Should have never downloaded this app he kidnapped my family (satire it really good);5
Velvadere;the life system makes the learning slow, but it is extremely helpful to be able to repeat steps.;4
Ronnie and;While I continue to learn and enjoy Duo, your insistence in using American spellings (movie theatre, rest room, appartment building, store (instead of shop)) etc., most irritating and unnecessary.;3
Dominik Majkowski;Has potential, but there's too much adds, reminds me of all the terrible mobile games, forcing an add every time you do anything;1
KL Collins;I like playing Duolingo. I lost my phone so I have to start over! But I still like learning another language, French.;5
Jelan mohammed;"Positive: There are many languages and learning on it is good. , there are no malfunctions, and you can also learn the letters of each language. Negatives: All the ads I have are about Super Duolingo The way the picture looks made my brother cry When I started learning Japanese the first word was ""sushi"" I'm used to it being the first word or the first unit about introducing myself I literally still can't form a standard sentence U want to install it ok but I don't really support it";2
Eldrich Nunga;I can speak Spanish in a month ooo I'm exited ❤❤❤❤;5
Justice;simple. Duolingo is the best I saw.;5
Sophia Alyanna Villegas;Fun;4
Leticia Millard;I have had to install this app like 5 times since I started using it only 3 days ago because it keeps freezing. Frustrating Still. I have had to install multiple times and still will not let me practice anything but Intermediate English. Not a great experience.;1
Rejoice Damanka;nice app;5
Moira Keenan;I enjoyed this once upon a time. Many languages had missing components. I paid monthly for membership. Inconsistencies occurred throughout. The English grammar was bad, and very little guidance about German grammar was present. Using only US English confused many things, such as translations, eg, Toilette - toilet/bathroom, Badezimmer - bathroom/ bathroom (meaning toilet). It was also biased! That made me remove it. More recent reviews, indicate it's gone from bad to worse. No more for me!;1
Claire Mac;I feel the need to say somewhere that I really don't appreciate how the icon changes to a sick duo when I am too sick too practice. I am dying over here I don't need to feel shamed about not being able to keep up with my goals. Very discouraging and not cute.;3
Mark Owens;It helpede learn Japanese ocha;5
fungi;he tried to eat me, but it was fun;4
Joy O'Brien;perfect for all ages;5
Nazanin Eslah;"that's the greatest and the best app for learning, but i am so sad why we just can't learn with our language and must try with English to other languages . Half of my mastake because of that i don't mastery in English. please put "" persian "" in basic language to make it easier for us🙏";5
John F;This is a great app when it comes to the languages themselves, but it is beyond frustrating when it comes to usability. There is an endless wave of pop-ups for social options, streaks, add-ons, trials, events, etc. I really wish you could turn off all of these random things and use the app as an academic resource. Their new icon is also really weird.;2
Maggie Coles;I really enjoy using Duolingo but not the constant requests to upgrade!;4
Music man is 1# Twice;Do your Spanish or vanish;5
Omotayo Temilola;very recommendable for home learners;5
Lori Smith;Fun way to learn another language!;5
Victoria Morisette;I love it Ive been taking Italian lessons for my upcoming trip and now I doing good grazie!;5
Mylie Sarmiento;took my family because I didn't finish my Spanish lessons but it's all good 👍;5
Sharon Hurn;the new icon is disgusting. Considering uninstalling;1
Sarah Kilduff;Y'all, making the owl icon progressively more and more disgusting is turning me off from using it. I just removed it from my home screen, and with ADHD that's basically the same as forgetting it exists. Not a good look, friend.;3
Peelish Yoihenba Mairembam;"I lost my streak after 2 months. A green bird threw me in a van and made me learn japanese for a year. Now i can say ""hello"" in japanese fluently. Great app";5
Amber;what an AMAZING app it's so fun and to know other language's i literally LOVE this app Awesome app ❤️;5
Gérôme Zog;I love it 🥹🥹😭😭♥️♥️♥️🙌🙌;5
Nicky Marks;I'm having a wonderful time with my lessons . come on, my friends, it is easy and fun fun fun 😁;5
keesa;Please HELP ME the Duolingo bird is following me;5
raston makwezwa;I love this app my kid now is getting better and better at Irish;5
Aero Beta Max;Horrible icon photo. Good app in general. I put -3 stars because of the disgusting app icon.;2
Caleb McGovern;I was hunted down and interrogated until I learned how to order a coffee in Italian 10/10 Would request for my family back again;4
Lilly Pollitt;First of all I can't get a day of rest with this and why so many emails man like what the hell just stop with the emails don't download this app;1
Alex P.;I love to learn my Spanish lessons every day hehe : );5
Ted Shaffner;love this app but don't love the guilt trip of the new icon.;4
Michelle Zambrano;so easy and fun to use!;5
Samuel Allen;Was decent till I found out they use ai, should probably stop using your funds for stupid adverts and start using them to pay your employees;1
Colin Hughes;I've been doing Duolingo for 6+ years now and haven't missed a single day. However, the app gets worse and worse. Despite submitting five bug reports and getting no reply, I've been doing that same set of lessons over and over for the past couple of months because it randomly resets your progress. Terrible app, but even worse support!;1
Touqeer Ahmed;awesome app for education;5
Siyanda Lekhoane;Helped me a lot improving my Spanish gracias duolingo🙏;5
Danielka Pešková;its ugly;1
Patty Geddings;So much fun 😁;5
Sara Kanski;Love this app, super helpful learning new languages!;5
Shir Mushinsky;I hate the fact that Doulingo changes my icon to an ugly melting owl when I'm not using the app. It's really manipulative and annoying!;2
ADIL Oukajji;إنه أفضل تطبيق لتعلم الإنجليزية;5
Gwen Dingle;I'm actually learning Spanish;5
momodou jallow;a great tool for learning language;5
Ramirez Amairani;it's a fun app and you can learn any language because I'm learning Spanish;5
Jordan Family So Blessed;Doulingo is coming for me....;1
꧁EpicVicky꧂;Spanish Or Vanish;5
Bella Polanco;Great, fun, and really educational!;4
t ah;Amazing app i learned alot of new words and very fun!;5
Jayden Tak;Very useful;5
Lesedi Mahlatji;I love to learn new languages;5
Sue Chase;Duolingo is great but I would like it to be less competitive.;4
Акакий Асфальтов;This application promotes same-sex relationships and alcohol!!!;1
Yaretzy Villescas;it helps you so much to learn a new language 😁 I love it so much and it helps me learn Spanish;5
Ifeoluwa Gomina;Why does my Duo App keep saying offline every nw and then even while I have my connections on. I keep my app updated it still says offline and I can't practice. This is frustrating been battling with it for like a month. Please work on it.;4
Joan;awesome!;5
paterne kwizera;Love it;5
Employee;Good;5
Chris Haan;its so great! no problems im lerning Spanish!;5
Miccnow;5 star for the logo seems like the owner is pretty much sick 😂🤢 lol;5
Julijan Čajko;Very good owl guy uh very helpful and nice never threatening;5
Renato Garopel;nice,I enjoyed it;5
Lorda Nicdao;This app is really good i learn spanish so easily because of duolingo and i am very thankful that this app exist.;5
Russ Boyd;fun way to learn with mucho repetition.;5
Rusty Hawkins;This app is fun and can help learn languages fluently.;5
Lana Caren;this app is amazing. I have learnt so many languages. I recommend this app. This is the best app for learning new languages by far.;5
sabyasachi das;fantastic and cute;5
Jazzy chick;Duolingo cheated on me with dua Lipa;1
Mahmuda Khanam;it's so good SLAYYYYYYY UwU;5
Adrianne Alexander;The best teacher u everything;5
Zahra Hasani;chokh nice👌;5
Lobna Lolo;❤️❤️;5
Mandel YouTube;"Ohhh, I get it! It's the #1 top ""grossing"" -1 star crusty dusty musty rusty";4
asiaelnakib20;its good for lessons;5
Elise Hudson;I think it is a good way to learn any language that you wish, so 5 stars from me;5
JASCARLIS OCANDO;good;5
Brittany Dumas;Love it, but please add Tagalog Filipino. Look forward to updates !!!!;5
Mohamed Kamel;good;5
Yomna Ezzat;excellent✨️;5
Jonea B.;What in sam hill happened to the app icon in the store? Duo needs some antibiotics. Aside from that, I'm glad they're including more varieties to lesson plans, but it feels like some languages get better features/treatments than others.;2
Nickie Biel;brilliant app, however the frustrating thing is that you have to spell correctly, even one letter you get a WRONG! if you're dyslexic you will find it really hard.;4
Maiwish Perween;😊😊😊😊😊😊😊;5
julia shirokova;stop with the gross icons, they don't motivate me to use the app, they make me want to delete it instead;3
ahmadreza Tizro;a perfect app for learn new languages. please add persian to this app too;5
Renelle Porter;I have tried multiple other language apps and this one stuck out to me it's almost like playing a game and it's free!;5
Louis Thermidor Philidor;is beautiful app for me;5
Shawn Yang;I like JDMS;5
Jay Pepper;Love it.;5
Damien Taylor;love the game but I am scared to miss a Spanish lesson;5
Omoikhefe Giwa-Okugbe;Great app;5
Rashawnna Moore (Mashiinue);Love it;5
Tito Kaoutar;💔💔;1
Mike Tony;Duoling tf happened to u;5
Diana Chepkorir;It's good. I only wish they could explain each topic not just translating.;5
Youstina Edwar;good;5
Kendra Olvera;Incredible help.;5
Spoider;Help the green bird has my family for Español lessons.;5
Amanuel Tekalgn;"I have been learning a lot on Duolingo and have been using the app for about 2 years now, but ever since the new update sometimes after a lesson ends there's this add to support Duolingo's mission which covers the entire page (including the ""No thanks"" button at the bottom) and won't let me proceed beyond that please fix this!";4
Jamil Ahmad;Super wied logo I'm never using this disgusting 😔;1
Hennon Harrison (Penny);The company layed off dozens of employees and replaced them with ai. This makes me sick.;1
Jacob Lambert;notifications are a bit passive-aggressive and I don't care about points or badges, but the lessons are good.;4
Hayden L;amazing experience it works very well I have learned so much in two days, Definitely recommended;5
Sakthi;It's Most Worthable Platform from beginners;5
Sam Nat;I've had an account with duolingo since 2013. Unfortunately, those in charge of the service decided to fire 10% of their work force and replace many of them with AI, which has also ruined the quality of the lessons. Morally, I can no longer use this service, and I have deleted my account. I highly encourage anyone also opposed to the rampant use of AI and replacement of a far superior human workforce do the same.;1
Yashi Singh;I gave u five star rating, please release my family now duo;5
Ashanola Jenkins;They stole my family...;1
تومي الشهراني;It is a very nice application that taught me the basics of English.❤️💥❤️ If so, I will give it five stars.⭐️⭐️⭐️⭐️⭐️ Question: Why does the application look like this?🙁?;5
SAJIL KHAN;ji bahut maza Ara hai;5
Molelekoa James Finger;Excellent!;5
anita pangeni;really nice I learnt Spanish from this thing my sis learned Chinese and many more;5
ASIR SOLKAR;good app;5
Lyla Laskowski;woww.w;5
Ithinkhessascool;Pfp sussy baka;1
Seema Chahal;nice;5
aqsa khizir;good learning app;5
Rahman Alam;Why does the new logo look like it's having a brain stroke💀🤣;5
Luis Alberto Vallejo Morales;ごはんとすしください;5
Javier Loera;fun;5
LaTisha Reid;I like it very much but can you teach us a little bit more words;5
Anshu Kashyap;What happened to u Duolingo bro ...cold??;5
Nikolas Tsavaris;Why don't you out an icon where Duo is defecating next time?;1
Caden Ruiz;it's cool;5
RAJESH MT;Bro whats withs this logo 😂;5
Rania Gihozo;it helps a lot;5
Arnei Souza;Can I see my family now;5
Mono Lono;Als Anfan um die Sprache zu lernen, ist es sehr gut;5
Génesis Galdámez;𝐈𝐬 𝐚 𝐠𝐨𝐨𝐝 𝐚𝐩𝐩 𝐈 𝐚𝐦 𝐥𝐞𝐚𝐫𝐧𝐢𝐧𝐠 𝐚 𝐥𝐨𝐭 𝐈 𝐫𝐞𝐜𝐨𝐦𝐦𝐞𝐧𝐝𝐞𝐝;5
Dido Saleh;This is the best app i have. I am learning german + Danke;5
Eric The Nod;Don't waste your money on a subscription. Makes you buy gems! Plus, woke garbage shoved in your face in the conversations. I'm so fed up with it.;1
Cyn;love it, learning and enjoying this app. thanks;5
Patricia mcCue;fun way to learn!;5
Angel Mharadze;it is a very good learning app I love it;5
Peace Oluwatimilehin;There's this offline issue after updating the app and it pisses me off whenever I want to learn and I'm unable to.;1
Alaa Shams;gamed;5
Yassin Khaled;really good download it learn really thr language;5
Sandra Morris;I forgot my spanish lesson/Im on my mom's acc.;5
K;"Did someone punch the Owl in the face? Halloween's in Oct. GO WOKE, GO BROKE. I was well on my way to learning Spanish, even intending the monthly subscription. AND THEN ""Anna goes on a honeymoon with HER WIFE."" So I will never pay for this product, and I will sabotage your ads. Luisc transition is looking good.";1
Bich Hong;Đổi icon app t rate 5 sao :);1
Lindsay Merritt;not that great but it works;3
Nathan Cosart;I have always had a difficult time with learning new languages, duolingo has given me the tools and resources to learn at my own pace. Now I'm surprising myself every day with my retention rate. It's easy to go back and practice the lessons I had trouble with and not worry about mistakes as much. Edit: I wish I could see the xp learned for each individual language on mobile again;4
Olivia Djouranov;Duolingo is a useful way to learn new words in your desired language. However, I do have constructive criticism which I hope the developers will take on board: regarding international languages e.g English, Spanish. First of all, English comes with the American flag which is inaccurate. Second, native Spanish and Latin American have different pronunciations. Duolingo uses the Spanish flag with Latin American pronunciation which can be a bit confusing.;4
Habib Sher Tajak;It's very Good App for learning languages;5
Mia Piening;Pls Duo. I need my family back. Pls pookie >///<;5
Leane;It is an Amazing amazing app. I would recomend it. I would also recomend duolingo to add another language. It's not a language that is widely spoken but it would be good to learn for for people in this area as wel. It is called Afrikaans.;4
Mary Norman;I am Navajo and have been reading, writing and speaking it my entire life. This platform mispells a lot of words. for example: shizhé'é is the proper spelling, the spelling on Duolingo is shizhe'é. spelling matters with the accents on words. using the wrong accent in a Navajo word can change the meaning completely when pronouncing it. It also teaches non-native speakers the incorrect pronunciation. if you're using this app solely on its own, I do not recommend it.;2
David Correia;I'm a long time user. duolingo's new icon is gross. if you are considering downloading or worse yet purchasing duolingo I would highly recommend against it.;1
Divine Favour;amazing app,I'm learning so much;5
Ioana Andrei;DUO PLEASE LET MY FAMILY GO, I RATED YOU 5 STARS PLEASE! I ONLY MISSED 1 DAY😭 okay but jokes aside, Duolingo is a great app. It helps you learn any language you want easily and kinda fast;5
Londonniece Harbour;it helps me a lot and I'm learning a lot more than I used to.;5
samsain me;I like the app, pretty fun while learning but the one thing I hate the most is the ad after every lesson, I can't exit the ad and the only thing I have to do is fully close Duolingo and reopen it, which I lose all xp I gained as it said.;3
Zyvue;Not sure what happened to the app icon, but It Not Bad.;5
Mo Jackson;Have only been doing it a couple of weeks and am already hooked on it!;5
luis correa;super good;5
Ishimwe Twizere;They really make learning languages very fun and easy;5
TyOwU 11;I forgot to do my lesson and now I'm in my neighbors basement;2
NISHA SHARMA;It helps a lot;5
Shambhavi Gautam;bessssssssttttt for learning English;4
Nnssnnsn snsnsns;AYEEE DOMINO🔥;5
Kacy;easy to learn, I like the daily reminders to keep me on track;5
جاسم الحمادي;It's too cool and the learning our language;5
Mitra R;This app is wonderful such a shame it doesn't have the Persian language for some unknown reasons!;1
Dammadinna Kodagoda;love this;5
Madison Rose;my kid uses this for part of her school and it's been a month and she is talking in full sentence. It not only challenges her, but it's fun, she loves it. so I rate it FIVE STARS;5
Utilka;i didnt expect it to be as useful as it proves to be. not regretting 80 grn subscription. although lesson variety could use improvement. also focus on practice is good but at least some theory would be nice. also, in the dutch course i find a few phrases that repeat too often, to the point that i unwillingly memorise answers instead of learning the language.;4
Alex;Disgusting new icon;1
Kendra Nicholson;what is with the zombie bird with the booger coming out of his nose for the cover.... why do you think i want anything that looks like spongebob on my phone? can this please go away? it makes zero sense;1
Kawtar Kawtar;🍉;1
RealProGamer;nice and made for even those with low iq and no will power;5
Peter Calpa-Fleming;I sometimes may not use it but I always come back to it. Fun to use but you need to put in a lot of time and effort to learn a language.;5
Zaid alam Islamic;isme garib bachchon ki bhi madad ho jaye gi jo mony nhi de saqte school nhi ja saqte;5
Aleksandra Kreis;I am Learning German very well and duo shows my mistakes and redos them at the end of my lesson!;5
Constance Chika;Increased speaking skill in french and I hope to learn more.I could learn any language of choice.I real love the moment with it.;5
Sreejita Das;i can actually learn English very well;4
Justina Alayande;It's amazing that there's an app you could learn languages for free If not for this app I would have given up my hope of being a polyglot;5
Whitepantha Andrew;My. Cat definitely needs this app;4
Eden Wendesen;wow it good app;5
Shraddha Pansare;excellent app;5
Lori Revty;Helping me Learn Japanese in an easy way;5
dark clan;👏 amazing;5
あなたのお母さんは私のガールフレンドです;i like is app so much interesting y me gusta no se por que no la había descargando antes;5
O Z;"Something is wrong. I tap to skip an ad for an app, and nothing happens. Continues to fail when attempting to tap on upper right ""skip."" This app is still sucking. It's now getting worse. This app is falling apart.";1
Pramanand Kumar Yadav;bahut maja aa raha hai;5
Sagittarius serpentarius;Duolingo is a life saver. I have GCSE exams coming up and to complete the entire French course I had about 1 year and a half compared to my classmates who had a total of 3 years (we travelled to UK from india). I managed to cover almost everything I had missed. Without duolingo I would have been a lost cause in French GCSE and for sure failed. Yes, it has a lot of ads but nothing good is available without a catch.;5
Harshit Tiwari;duolingo is tha ama nhi na aap 🙂;3
Emma Olson;Love the course but some of my complaints are when I asked my Spanish friend if I spelt something right in my Spanish course he said that this Spanish is actually way different then people who grew up with Spanish actually talk. Also,why is the birds face on the front cover ap discusting? It makes me not want to practice because it seems like you're clicking on an ugly exhausted bird face, and he looks like he's tired from me constantly making mistakes when Im trying to learn the Spanish.;3
Jason Dumb;Great app!;5
Maryam khan;FRENCH IS DRENCHED IN MY BRAIN 😩😩😩😩😩😩😩;5
Mustafa Sherin;I love so much desh app language app Avar I loveeeeetttttt sooooo. Much;5
G Green;Great!;5
Soulaymane Id taleb;Good good;5
Rukhsana Nazir;best app ever by its a type of game that u can play and learn ur fav language by playing I like this app as it is do not waste time and help us to improve our confidence and voucabulary. This is the first app I like the mosttttt.😍🥰💕🤩🎉😊❤️❤️💕😍🥰;5
ska pate;es muy bueno 😊 ,ayuda en los puntos que faltan en tu aprendizaje y de diferentes formas hasta que no quede duda 🤠.;5
Luis Enrique Hernández;Well, I have been using this app for a while and in my opinion, the app is good, I've been learning words that I didn't know. I really recommend it.;5
Rizwan Khan;good;5
Rishi Saha;I am giving one star because the time duration for Spanish and French has increased so much that it is impossible to complete it and it has been 1 year.I've been here for over 1 year and I'm still taking my time learning Spanish 1 hour 30 and french .But the time duration of each thing has become so long that it causes so much irritation that now there is no interest in doing it or completing it at any level.There are total 9 section and each level has different courses it takes too much time.;1
Alauddin Apon;really great very Eazy to learn.;5
Yara ramadan;Discussing;1
Whitney Waterbury;while a little repetitive, it's been good for learning basic phrases of a language in an engaging way.;4
Hafsa Mohamed;I love how you teaching different languages;5
Paolo Petrovic;Llevo años usando la aplicación y queria aprender el curso de música pero es demasiado engorroso e difícil de comprender. Haran falta al menos 15 vidas para superar una lección de música. Eliminen el curso mejor;1
Luke;its good but can be annoying to get something wrong.;5
AshmeisterZW;good teacher;5
yassine amsp;Please change the profile picture, it's Soo ugly;3
Mohamed Yakub;No data;1
Salsabila Ahmed;it's so good;5
Atmee Yeyya;i did spanish dont vanish me duo;5
Liam Cooper;I started learning Portuguese and I'm becoming more better at it;5
King Abdallah;I love duolingo I like it sooo much thank u now I know dutch for sure;5
S.Sandhya Devendra;I am very happy this app is enjoy and practice English very speed Thank you so much this app;5
Matn;absolutely amazing,and the free version is equally excellent 👌;5
Huma Azeem;good but very slow... it's been a month and I've learnt almost nothing..;4
OB O'Brien;I love Duolingo on my life ❤️ 🦜🦜;5
Piyush Dhyani;duolingo is the best app;5
Haroon Bhati;I like this app but I can't downlode because you not add the language of urdu plz add urdu language in next update plz;2
Maarja Isak;what happened to duolingo 😹;4
Ameerah tahreem;That's my respond;4
Buggy Jo Morin;I actually understand greek now!! great app! it's very fun for kids.;5
Arshad Khan;Oh so nice application real app Antarctic work;5
Sarvarkhan;nice aap;5
Ashley;This app is so good. I really love it! It is very easy, and simple and only gets harder when you are improving;5
Prashu Bava;good;5
Markanthony Izzo;I can't see the letters in the word box. half is cut off. When asked to choose which word do I hear, it would be nice to know what they mean. need better explanation when to use THE.;3
Payton Tiger;I deleted his app and I said it to him and he got mad and he said I will kidnap you so yeah;5
Ankit Chakrawarti;Duolingo is very nice 💯 🙏👍;5
Oula Belil;Dolingo is very wow;5
Rolando;maravilloso, estoy aprendiendo francés y 10/10;5
Golu Kumar;good;5
Filomena Costa;What happen to duolingo why is he built like that.;1
